Reboiler_Spec,Condenser_Spec,Condenser_Duty,Reboiler_Duty,T_top,T_mid,T_bottom,Condenser_Duty_predicted,Reboiler_Duty_predicted,T_top_predicted,T_mid_predicted,T_bottom_predicted,Prediction_Error,Threshold,Anomaly,Health_Index_%
1.55556,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.55556,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.60444,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,1.9,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,1.94444,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,1.98889,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,2.03333,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,2.07778,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,2.12222,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,2.16667,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,2.21111,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,2.25556,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.65333,2.3,76.2681,-77.6168,351.559,364.622,373.243,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,2.5716399999996384,1.6431845723429583,1,89.57470010905247
1.70222,1.9,33.5794,-33.967,351.561,353.4,357.987,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.99805999999942,1.6431845723429583,1,18.928865339944423
1.70222,1.94444,34.0918,-34.48,351.56,353.374,357.993,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.79677999999942,1.6431845723429583,1,19.74484438913102
1.70222,1.98889,34.6034,-34.9912,351.558,353.35,358.0,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.595219999999415,1.6431845723429583,1,20.561958544308155
1.70222,2.03333,35.1116,-35.4927,351.557,353.326,358.013,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.395279999999424,1.6431845723429583,1,21.37250530054007
1.70222,2.07778,35.6232,-36.0036,351.555,353.303,358.02,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.19357999999943,1.6431845723429583,1,22.190187008712424
1.70222,2.12222,35.6232,-36.0036,351.555,353.303,358.02,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.19357999999943,1.6431845723429583,1,22.190187008712424
1.70222,2.16667,35.6232,-36.0036,351.555,353.303,358.02,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.19357999999943,1.6431845723429583,1,22.190187008712424
1.70222,2.21111,35.6232,-36.0036,351.555,353.303,358.02,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.19357999999943,1.6431845723429583,1,22.190187008712424
1.70222,2.25556,35.6232,-36.0036,351.555,353.303,358.02,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.19357999999943,1.6431845723429583,1,22.190187008712424
1.70222,2.3,35.6232,-36.0036,351.555,353.303,358.02,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,19.19357999999943,1.6431845723429583,1,22.190187008712424
1.75111,1.9,28.0019,-28.4077,351.561,353.428,357.342,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,22.34881999999942,1.6431845723429583,1,9.399001917518557
1.75111,1.94444,28.433,-28.8384,351.56,353.402,357.35,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,22.17985999999942,1.6431845723429583,1,10.083957303799206
1.75111,1.98889,28.8585,-29.2624,351.558,353.381,357.357,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,22.012359999999422,1.6431845723429583,1,10.76299392312925
1.75111,2.03333,29.2843,-29.6871,351.557,353.36,357.363,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,21.84505999999942,1.6431845723429583,1,11.44121975246608
1.75111,2.07778,29.7129,-30.1161,351.556,353.336,357.366,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,21.677539999999418,1.6431845723429583,1,12.120337450795482
1.75111,2.12222,30.1353,-30.5394,351.555,353.312,357.363,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,21.51359999999942,1.6431845723429583,1,12.784942008246036
1.75111,2.16667,30.5595,-30.9617,351.553,353.295,357.37,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,21.345899999999414,1.6431845723429583,1,13.464789417569357
1.75111,2.21111,30.9855,-31.3867,351.552,353.277,357.376,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,21.177899999999433,1.6431845723429583,1,14.145853011882414
1.75111,2.25556,31.412,-31.8121,351.551,353.259,357.381,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,21.00991999999942,1.6431845723429583,1,14.82683552719628
1.75111,2.3,31.8391,-32.2383,351.55,353.24,357.386,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,20.841859999999418,1.6431845723429583,1,15.508142358507392
1.8,1.9,22.4244,-22.8568,351.56,353.467,356.838,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,24.667299999999422,1.6431845723429583,1,0.0
1.8,1.94444,22.7662,-23.1988,351.559,353.44,356.84,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,24.535339999999433,1.6431845723429583,1,0.5349592375330614
1.8,1.98889,23.1091,-23.542,351.558,353.414,356.842,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,24.402719999999427,1.6431845723429583,1,1.0725940820438429
1.8,2.03333,23.4526,-23.8837,351.556,353.396,356.85,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,24.26727999999941,1.6431845723429583,1,1.6216610654592123
1.8,2.07778,23.7916,-24.2234,351.556,353.371,356.848,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,24.13693999999942,1.6431845723429583,1,2.1500529040471172
1.8,2.12222,24.137,-24.5677,351.554,353.352,356.855,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,24.000999999999415,1.6431845723429583,1,2.7011468624455137
1.8,2.16667,24.4797,-24.9104,351.554,353.33,356.857,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,23.867919999999412,1.6431845723429583,1,3.2406465239407156
1.8,2.21111,24.8222,-25.253,351.553,353.309,356.858,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,23.734699999999414,1.6431845723429583,1,3.780713738431163
1.8,2.25556,25.1644,-25.5954,351.552,353.289,356.86,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,23.601179999999424,1.6431845723429583,1,4.321997137911415
1.8,2.3,25.505,-25.9346,351.551,353.274,356.864,73.66050000000043,-75.00820000000019,351.5470000000017,356.99499999999887,373.2459999999993,23.467219999999422,1.6431845723429583,1,4.865064275376829
